Meta,Conteúdo Adicional
5.100.000,HQs: HISTÓRIA EXTRA 3 (FERNANDA BRANDALISE E PEDRO COBLACO)
5.140.000,ANTOLOGIA: CONTO EXTRA-3 (EMERSON XAVIER)
5.200.000,TRILHA SONORA DO NERDCAST RPG: GHANOR
5.240.000,LIVRO-JOGO: +100 ETAPAS (PASSA PARA 500)
5.350.000,MINIATURA EXTRA 3 (ESCOLHA DO PÚBLICO)
5.390.000,LIVRO JOGO: +10 ILUSTRAÇÕES (PASSA-PARA-30)
5.460.000,HQs: HISTÓRIA EXTRA 4 (J. M. TREVISAN)
5.520.000,ANTOLOGIA: CONTO EXTRA4 (DENISE FLAIBAM)
5.580.000,CONCURSO DE CONTOS
5.640.000,LIVRO-JOGO: +100 ETAPAS (PASSA PARA 600)
5.700.000,MINIATURA EXTRA 4
5.740.000,REVISTA DRAGÃO BRASIL: EDIÇÃO ESPECIAL GHANOR
5.820.000,HQs: HISTÓRIA EXTRA 5 (ALE SANTOS)
5.880.000,ANTOLOGIA: CONTO EXTRA 5 (JANA BIANCHI E DIOGO RAMOS)
5.950.000,CONCURSO DE CONTOS: +2 CONTOS SELECIONADOS (TOTAL 4)
6.000.000,LIVRO-JOGO: +100 ETAPAS (PASSA PARA 700)
6.050.000,MINIATURA EXTRA 5 (ESCOLHA DO PÚBLICO)
6.120.000,HQs: ACABAMENTO ESPECIAL
6.180.000,HQs: HISTÓRIA EXTRA 6 (MARCELO CASSARO)
6.240.000,ANTOLOGIA: CONTO EXTRA 6 (A. J. OLIVEIRA)
6.300.000,ROMANCE: ACABAMENTO ESPECIAL
6.360.000,LIVRO-JOGO: +100 ETAPAS (PASSA PARA 800)
6.520.000,MINIATURA EXTRA 6
6.600.000,LIVRO-JOGO: ACABAMENTO ESPECIAL
